,Name,Date,Time,Theatre,Cluster
0,Святе сімейство,2023-12-12,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
1,SALIDA CRUZADA - 8 кроків танго,2023-12-12,18:30:00,Київський академічний театр на Печерську,Вечірня
2,"У Києві, на Подолі, або «Гдє Ві сохнітє бєльйо?» ",2023-12-12,19:00:00,"Київський академічний театр ""Колесо""",Вечірня
3,Механічний апельсин ,2023-12-13,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
4,Сімейка Аддамсів ,2023-12-13,18:00:00,Київський Національний Академічний театр оперети,Вечірня
5,За двома зайцями,2023-12-13,18:00:00,Будинок Офіцерів,Вечірня
6,№ 13,2023-12-13,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
7,Чорний дрізд. ,2023-12-13,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
8,Альбатроси. ,2023-12-13,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
9,Льовушка ,2023-12-13,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
10,Вистава «Попередні пестощі»,2023-12-13,18:30:00,CARIBBEAN club,Вечірня
11,Свої,2023-12-13,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
12,Піна днів ,2023-12-13,18:30:00,Сцена 6,Вечірня
13,SALIDA CRUZADA - 8 кроків танго ,2023-12-13,18:30:00,Київський академічний театр на Печерську,Вечірня
14,Інстинкт ,2023-12-13,19:00:00,Театр на Михайлівській,Вечірня
15,В гостях у сексопсихолога,2023-12-13,19:00:00,Арт-студія «Темний Софіт»,Вечірня
16,Шантрапа ,2023-12-13,19:00:00,"Київський академічний театр ""Колесо""",Вечірня
17,Танцювально-театральна вистава «Саквояж»,2023-12-14,18:00:00,CARIBBEAN club,Вечірня
18,Комедіанти ,2023-12-14,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
19,Прем’єра. Бродвейська історія ,2023-12-14,18:00:00,Київський Національний Академічний театр оперети,Вечірня
20,Потрібен брехун! ,2023-12-14,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
21,Монотеатр МІФ. «Синій автомобіль»,2023-12-14,18:00:00,Дім Актора,Вечірня
22,Розпусник ,2023-12-14,18:00:00,Київський академічний театр на Печерську,Вечірня
23,VINO,2023-12-14,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
